"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"SEARCHFAM","3","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating respondent, who moved in last two years, found home through family, friends, or other word of mouth","HOUSEHOLD","Character","JSEARCHFAM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you find your home through family, friends, or other word of mouth?","HEARHSFAM","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"SEARCHLIST","4","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating respondent, who moved in last two years, found home through apartment rental agency listing","HOUSEHOLD","Character","JSEARCHLIST","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you find your home on an apartment rental agency listing?","HEARHSLIST","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"SEARCHNET","5","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating respondent, who moved in last two years, found home through the Internet","HOUSEHOLD","Character","JSEARCHNET","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you find your home on an internet site (such as Craig's List, apartment.com, realtor.com, or Zillow)?","HEARHSNET","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"SEARCHOTH","6","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating respondent, who moved in last two years, found home through some other way","HOUSEHOLD","Character","JSEARCHOTH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you find your home in some other way?","HEARHSOTH","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"SEARCHPUB","7","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating respondent, who moved in last two years, found home through newspaper or publication","HOUSEHOLD","Character","JSEARCHPUB","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you find your home in a newspaper or other publication?","HEARHSPUB","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"SEARCHREA","8","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating respondent, who moved in last two years, found home through real estate agent","HOUSEHOLD","Character","JSEARCHREA","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you find your home from talking with a real estate agent?","HEARHSREA","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"SEARCHSIGN","9","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating respondent, who moved in last two years, found home through sign outside of building","HOUSEHOLD","Character","JSEARCHSIGN","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you find your home on a sign on outside of building/house?","HEARHSSIGN","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","",
"SEARCHSTOP","10","Recent Movers","12","Housing Search","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Reason for stopping housing search sooner than preferred","HOUSEHOLD","Character","JSEARCHSTOP","Coming soon","1: Yes, because had to move quickly||2: Yes, because had difficulty with travel||3: Yes, had to move quickly and had difficulty with travel||4: Yes, no reason given||5: No||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1'","SEARCHSTOP is determined using STOPLOOK (Did you end your housing search sooner than you would have liked?), STPLKTIME (Did you end your housing search because you had to move quickly and did not have time to fully explore your housing options?), and STPLKTRAV (because you had difficulty traveling to other neighborhoods to find preferred housing?).",
"SEARCHAPRJ","11","Recent Movers","12","Housing Search","2","2021 National, 2021 Metro","PUF","Submitted rental applications for other units that were rejected because of credit","HOUSEHOLD","Character","JSEARCHAPRJ","Coming soon","1: Submitted rental applications for other units, at least one application rejected because of credit||2: Submitted rental applications for other units, none rejected because of credit||3: Submitted rental applications for other units, rejection not reported||4: Did not submit rental applications for other units||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and SPLITSAMP = '1' and TENURE in ('2' '3') and SEARCHPUB ne 'N'","SEARCHAPRJ is determined using SRCHAPP (Did you submit rental applications for any apartments or housing units other than this one?) and SRCHREJ (Were any of your rental applications rejected because of yours or your cosigner's credit history or credit score?). This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"SEARCHCRED","12","Recent Movers","12","Housing Search","2","2021 National, 2021 Metro","PUF","Did not apply because of credit score","HOUSEHOLD","Character","JSEARCHCRED","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Sometimes people don't apply for some units even if they can afford them. Did you decide not to submit an application because you were worried about your cosigner's credit history or credit score?","SRCHCRED","None","INTSTATUS = '1' and SPLITSAMP = '1' and TENURE in ('2' '3') and SEARCHPUB ne 'N'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"SEARCHGUAR","13","Recent Movers","12","Housing Search","2","2021 National, 2021 Metro","PUF","Had a guarantor or co-signer on application","HOUSEHOLD","Character","JSEARCHGUAR","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","A guarantor or co-signer may be a friend or family member who agrees to make payments on your behalf should you become unable to pay your rent. Did you have a guarantor or co-signer on any of your rental applications?","SRCHGUAR","None","INTSTATUS = '1' and SPLITSAMP = '1' and TENURE in ('2' '3') and SEARCHPUB ne 'N'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"SEARCHNEIGH","14","Recent Movers","12","Housing Search","2","2021 National, 2021 Metro","PUF","Visited other neighborhoods","HOUSEHOLD","Character","JSEARCHNEIGH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","When you were looking for a new place to live, did you visit other neighborhoods besides this one?","SRCHNEIGH","None","INTSTATUS = '1' and SPLITSAMP = '1' and TENURE in ('2' '3') and SEARCHPUB ne 'N'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"SEARCHTIME","15","Recent Movers","12","Housing Search","2","2021 National, 2021 Metro","PUF","Time taken to find another place to live","HOUSEHOLD","Character","JSEARCHTIME","Coming soon","1: Less than a month||2: More than one month||M or -9: Not reported||N or -6: Not applicable","During your most recent move, how long did it take to find a place to live?","SRCHTIME","None","INTSTATUS = '1' and SPLITSAMP = '1' and TENURE in ('2' '3') and SEARCHPUB ne 'N'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"SEARCHUNITS","16","Recent Movers","12","Housing Search","2","2021 National, 2021 Metro","PUF","Visited other houses or apartments in neighborhood","HOUSEHOLD","Character","JSEARCHUNITS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","When you were looking for a new place to live, did you visit other houses or apartments within this neighborhood?","SRCHUNITS","None","INTSTATUS = '1' and SPLITSAMP = '1' and TENURE in ('2' '3') and SEARCHPUB ne 'N'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"MVG1COST","1","Recent Movers","12","Mover Group 1 Details","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Comparison of housing costs to former home (mover group 1)","HOUSEHOLD","Character","JMVG1COST","Coming soon","1: Increased||2: Decreased||3: Stayed about the same||M or -9: Not reported||N or -6: Not applicable","When you moved, did your housing costs increase, decrease, or stay about the same?","XCOST","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and MOVERGRP = '1' and MVG1TYPE in ('1' '2' '3' 'M')","",
"MVG1LOC","2","Recent Movers","12","Mover Group 1 Details","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating move was more than 50 miles (mover group 1)","HOUSEHOLD","Character","JMVG1LOC","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and MOVERGRP = '1'","Respondents are first asked for the zip code of the previous address (XZIP). If they don't know, they are then asked if the move was more than 50 miles (XLOC). If the zip code was reported, that information was used by Census to determine if the location was more than 50 miles using the centroids of the current ZIP code and previous ZIP code.",
"MVG1PER","3","Recent Movers","12","Mover Group 1 Details","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of people in former home (mover group 1)","HOUSEHOLD","Numeric","JMVG1PER","Coming soon","1 : 30: 1 to 30 people||M or -9: Not reported||N or -6: Not applicable","This question is about where you lived just before moving here. How many people lived in that household just before the move?","XPER","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and MOVERGRP = '1' and MVG1TYPE in ('1' '2' '3' 'M')","",
"MVG1STAT","4","Recent Movers","12","Mover Group 1 Details","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating former home was owned or rented by someone in current home (mover group 1)","HOUSEHOLD","Character","JMVG1STAT","Coming soon","1: Previous unit owned or rented by someone who moved here||2: Previous unit owned or rented by someone else - relative||3: Previous unit owned or rented by someone else - nonrelative||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and MOVERGRP = '1' and MVG1TYPE in ('1' '2' '3' 'M')","MVGXSTAT is determined using XHEAD (Was that unit owned/rented by someone who moved here?) and XREL (Was it owned/rented by a relative?).",
"MVG1TEN","5","Recent Movers","12","Mover Group 1 Details","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Tenure of former home (mover group 1)","HOUSEHOLD","Character","JMVG1TEN","Coming soon","1: Owned or being bought by someone in that household||2: Rented for cash||3: Occupied without payment of cash rent||N or -6: Not applicable","This question is about where you lived just before moving here. Was that home ___.","XTEN","None","INTSTATUS = '1' and ((([interview year] - 2) < MOVE) or ((([interview year] - 2) = MOVE) and [month of survey] <= MOVM)) and MOVERGRP = '1' and MVG1TYPE in ('1' '2' '3' 'M')","",
